,text,sentiment,clean_message
646,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0,film lack real scare tension medic terminolog use throughout bit iffi say least say insulin depend diabet
647,The least said about the acting the better.  ,0,least say act better
648,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1,movi excel job reveal complex task incred challeng face south africa
649,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1,believ everi one see movi think peopl outsid south africa understand past attempt truth reconcili process
650,Nothing short of magnificent photography/cinematography in this film.  ,1,noth short magnific photographycinematographi film
651,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1,act fantast stori seamlessli woven togeth dog splendid must rent view see
652,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1,dont afraid subtitl worth littl avers therapi 1010
653,Excellent performance.  ,1,excel perform
654,There still are good actors around!  ,1,still good actor around
655,Also great directing and photography.  ,1,also great direct photographi
656,"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1,true shakespear must shakespear fan
657,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1,macbeth jason conneri move tear final monolog brief candl outh give sphere moral decay dark forc human face make interest
658,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1,helen baxendal credibl ladi macbeth cheerful time sometim look like naughti girl deadli tast blood evil
659,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1,love death decay shakespear lyric one
660,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1,witti delight adapt dr seuss book brilliantli anim upa fine thoroughli deserv academi award
661,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1,special mention make superb music score sound effect integr element help make memor enjoy cartoon
662,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",1,howev paul schrader inde make film mishima superb complex
663,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,1,also notabl john bailey fine crisp beauti color cinematographi great product design costum eiko ishioka go memor costum coppola dracula receiv well deserv oscar
664,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0,even allow poor product valu time 1971 format kind miniseri baaaaaad
665,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0,unless your visual collect extant film austen work skip one
666,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1,watch howev small consol actress play ann sister wonder job role
667,It is not good.  ,0,good
668,"Speaking of the music, it is unbearably predictably and kitchy.  ",0,speak music unbear predict kitchi
669,Then the film just dropped the ball.  ,0,film drop ball
670,This is a stunning movie.  ,1,stun movi
671,Raw and sublimely moving.  ,1,raw sublim move
672,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1,felt like grip intellig stage play without overli theatric feel one actual get watch peopl stage play everyon terror white lie escal monstrou consequ
673,All of the main players are mesmerising.  ,1,main player mesmeris
674,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1,tom wilkinson break heart end everyon els judg amount fumbl hanki hand go face among male femal alik
675,Julian Fellowes has triumphed again.  ,1,julian fellow triumph
676,He's a national treasure.  ,1,he nation treasur
677,GO AND SEE IT!  ,1,go see
678,This is an excellent film.  ,1,excel film
679,The aerial scenes were well-done.  ,1,aerial scene welldon
680,It was also the right balance of war and love.  ,1,also right balanc war love
681,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,film give mean phrase never histori human conflict much owe mani
682,Kris Kristoffersen is good in this movie and really makes a difference.  ,1,kri kristoffersen good movi realli make differ
683,A good film by a great director!  ,1,good film great director
684,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,1,definit one good documentari see look famili relationship marriag
685,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0,mani continu error one user comment differ car garag joe glassesth one get fact joe facial hair configur seem chang scene scene
686,This is just a great movie.  ,1,great movi
687,10 out of 10 stars.  ,1,10 10 star
688,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0,cant see movi inspir anyon come overcom fear reject
689,It's so bad it's actually worth seeing just for that reason.  ,0,bad actual worth see reason
690,Punishment Park is a brilliant piece of cinema.  ,1,punish park brilliant piec cinema
691,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",1,shot southern california desert use patent faux documentari style watkin creat film like
692,This is one of Peter Watkins most accessible films.  ,1,one peter watkin access film
693,I advise you to look out for it.  ,1,advis look
694,You wont regret it!  ,1,wont regret
695,Highly recommended A+  ,1,highli recommend
696,Well... Just if you keep thinking how bad it is.  ,0,well keep think bad
697,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",0,mediocr miser hollow laughabl predict piec garbag
698,It's a case of 'so bad it is laughable'.  ,0,case bad laughabl
699,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0,bad perform play angela bennett comput expert home time
700,"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0,film noth pretext show ridicul action scene
701,How awful she is!  ,0,aw
702,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",0,still bad actress repeat robot face move pictur
703,"The results, well, are a shame.  ",0,result well shame
704,DELETE this film from your mind!  ,0,delet film mind
705,One of the worst shows of all time.  ,0,one bad show time
706,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0,show would begin smart as ed comment would total wall uncal
707,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0,fat comput geek unbeliev bibl thumper badass girl actor
708,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0,never hear except cole total unbeliev part
709,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0,everi time open mouth expect hear see kid pull plug merci kill horribl show
710,The stories were as unbelievable as the actors.  ,0,stori unbeliev actor
711,Lame would be the best way to describe it.  ,0,lame would best way describ
712,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",1,stanwyck morgan perfectli cast mani way modern equival dicken christma carol sensibl
713,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1,success film depend cast sydney greenstreet alexand yardley charact
714,The attractive set used throughout most of the film is an eye-pleasing gem.  ,1,attract set use throughout film eyepleas gem
715,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0,im big fan rpg game movi disgrac selfrespect rpger
716,"The lines, the cuts, the audio, everything is wrong.  ",0,line cut audio everyth wrong
717,You can find better movies at youtube.  ,0,find good movi youtub
718,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0,top line dont wast time money one bad come
719,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0,lassi movi put sleep forev
720,That's how I'd describe this painfully dreary time-waster of a film.  ,0,that id describ pain dreari timewast film
721,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0,mediocr everi aspect becom dull uninterest mess one forgett movi ive see
722,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0,isnt even achiev sobaditsgood sobaditsmemor movi
723,"It's an empty, hollow shell of a movie.  ",0,empti hollow shell movi
724,"Seriously, it's not worth wasting your, or your kid's time on.  ",0,serious worth wast kid time
725,"Avoid, avoid, avoid!  ",0,avoid avoid avoid
726,It will drive you barking mad!  ,0,drive bark mad
727,The transfers are very good.  ,1,transfer good
728,Very nice and relaxing late night viewing.  ,1,nice relax late night view
729,The movie is full of wonderful dancing (hence the title!  ,1,movi full wonder danc henc titl
730,") some great music, and terrific scenery.  ",1,great music terrif sceneri
731,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1,handl tough issu digniti grace cours shock spoiler
732,") a happy, wonderful, feel good ending!  ",1,happi wonder feel good end
733,"The point is the journey, a journey that touches every member of the family.  ",1,point journey journey touch everi member famili
734,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1,one movi need see whenev come tvnever mind fact alreadi memor
735,Nothing new there.  ,0,noth new
736,That was done in the second movie.  ,0,do second movi
737,The movie has almost no action scenes in it and very little comedy.  ,0,movi almost action scene littl comedi
738,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0,plot hole pair fishnet stock direct edit astonishingli ham fist
739,What on earth is Irons doing in this film?  ,0,earth iron film
740,I just saw this film and I recommend it.  ,1,saw film recommend
741,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1,good plot hold complet attent act superb tom wilkinson fantast emili watson also good
742,"A very good film indeed, about great and unconditional love.  ",1,good film inde great uncondit love
743,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1,tom wilkinson charact man prepar ordeal begin take matter hand stori progress great actor give perform make feel charact anguish suffer
744,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1,emili watson charact strong give quick glanc understand everyth
745,"Despite the pans of reviewers, I liked this movie.  ",1,despit pan review like movi
746,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1,fact like good interview vampir like lestat stuart townsend well cruis attempt
747,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1,aailiyah pretti good akasha place compel first entranc mini danc scene
748,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1,im big fan seri mostli due ann rice style sensit treatment
749,I guess I liked the details of his dysfunction--he was believable.  ,1,guess like detail dysfunctionh believ
750,The football scenes at the end were perplexing.  ,0,footbal scene end perplex
751,But I thought his acting was skilled.  ,1,think act skill
752,Meredith M was better than all right.  ,1,meredith well right
753,A very charming film with wonderful sentiment and heart.  ,1,charm film wonder sentiment heart
754,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1,rare filmmak take time tell worthi moral tale care love doesnt fall trap overli syrupi indulg
755,Nine out of ten for a truly lovely film.  ,1,nine ten truli love film
756,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,1,earli film futur goremeist lucio fulci good addit giallo subgenr
757,This is one of the best Italian thrillers of the early 70's.  ,1,one best italian thriller earli 70
758,A standout scene.  ,1,standout scene
759,This scene is very strong and unpleasant.  ,0,scene strong unpleas
760,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1,technic film well make impress camerawork solid act effect music riz ortolani particularli good recur unaccompani femal vocal sound like come distant hill
761,It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1,still wild stuff though highli recommend fan giallo cinema
762,The movie was very interesting from beginning to the end.  ,1,movi interest begin end
763,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1,like way dustin hoffman charact readi everyth stay son
764,This movie is also revealing.  ,1,movi also reveal
765,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1,person think show peopl learn find compromis self without involv peopl issu
766,And it was boring.  ,0,bore
767,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,tire cliché lazi write come thick fast
768,PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1,ps scene movi cool central charact find room blown
769,"It's a fresh, subtle, and rather sublime effect.  ",1,fresh subtl rather sublim effect
770,"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1,italian review call small great film that right
771,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1,actor give wonder perform especi jennif rubin jami harri chang nervou starlet begin strang event part cool star
772,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",1,learn lot real insid emot peopl movi lot movi busi
773,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1,movi movi situat begin game play act coach fascin
774,Also the music by Mark Snow is possibly the best score I've ever heard.  ,1,also music mark snow possibl best score ive ever heard
775,You won't forget this movie!  ,1,wont forget movi
776,Why was this film made?  ,0,film make
777,The film has an ultra-cheap look to it.  ,0,film ultracheap look
778,The result is a film that just don't look right.  ,0,result film dont look right
779,None of them are engaging or exciting.  ,0,none engag excit
780,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0,plot nonsens doesnt interest slight way uniqu
781,The Foreigner is not worth one second of your time.  ,0,foreign worth one second time
782,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",1,saw child tv back 1973 stranger love
783,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1,duet astronaut doctor begin movi perfect exchang one consid movi make well cold war astronaut big fear crash ussr
784,This movie is so awesome!  ,1,movi awesom
785,"I loved it, it was really scary.  ",1,love realli scari
786,I love the Scream movies and all horror movies and this one ranks way up there.  ,1,love scream movi horror movi one rank way
787,If you want a real scare rent this one!  ,1,want real scare rent one
788,10/10  ,1,1010
789,This is an extraordinary film.  ,1,extraordinari film
790,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1,courtroom drama compel indict american justic system frighten
791,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1,film highlight fundament flaw legal process discov guilt innoc rather present well court
792,"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",1,film well pace underst one best courtroom documentari ive see
793,This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,1,mostli routin factbas tv drama get boost fine perform cole
794,"Predictable, but not a bad watch.  ",1,predict bad watch
795,It was clear that she had the range and ability to pull off this part.  ,1,clear rang abil pull part
796,She carries the movie well.  ,1,carri movi well
797,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1,constantin give everyth right intens seem good understand underli psycholog motiv
798,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1,wonder inspir watch hope get releas video dvd
799,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0,piec trash ever releas beyond act stori charact supposedli special effect etcit wrong
800,"In fact, this stinker smells like a direct-to-video release.  ",0,fact stinker smell like directtovideo releas
801,Avoid at ALL costs!  ,0,avoid cost
802,Star Trek V The final Frontier is the worst in the series.  ,0,star trek v final frontier bad seri
803,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0,act involv includ like shatner nimoy bad wash make seem old look real life special effect tacki like spock rescu kirk jet pack fall mountain
804,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,0,attempt humor piti stori aw dosent bear think basic involv vulcan steal enterpris find god serious didnt care film oh mention uhura belli danc distract male guard
805,The only place good for this film is in the garbage.  ,0,place good film garbag
806,The worst one of the series.  ,0,bad one seri
807,Editing: The editing of this film was phenomenal in my opinion.  ,1,edit edit film phenomen opinion
808,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1,song could explain emot subject well jay adam unfortun life subject talk song old man neil young play evok mani emot
809,Cinematography: The film was shot in an interesting way.  ,1,cinematographi film shot interest way
810,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1,cours footag 70 graini enhanc film
811,This film offers many delights and surprises.  ,1,film offer mani delight surpris
812,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1,achil philippa beauti sing duet giovanni perfectli describ situat movi appreci subtl layer excel film
813,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1,stori unfold 18th centuri jutland use period music play period instrument one fine touch
814,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1,share gener loewenhielm exquisit joy partak caill en sarcophag even though watch movi wish small sampl savor
815,But this understated film leaves a lasting impression.  ,1,underst film leav last impress
816,The warmth it generates is in contrast to its austere backdrop.  ,1,warmth gener contrast auster backdrop
817,You will leave the theater wanting to go out and dance under the stars.  ,1,leav theater want go danc star
818,"The acting, as you'd expect from this cast, is top notch.  ",1,act youd expect cast top notch
819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1,charact flesh surprisingli well particularli grime blake actor deliv sharpli script line right amount deadpan tongu cheek make dialogu hilari realist
820,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1,angu scrimm also turn good perform somewhat brief memor role gentli menac violinplay anatomist doctor quinn
821,Conclusion - I loved it.  ,1,conclus love
822,It's a long time since I was so entertained by a movie.  ,1,long time sinc entertain movi
823,I struggle to find anything bad to say about it.  ,1,struggl find anyth bad say
824,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",1,mark word one cult film like evil dead 2 phantasm peopl still discov fall love 20 30 40 year line
825,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1,pretti surpris wonder film make 1949 hollywood gener collect head sand concern black white issu time
826,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,film deserv strong kudo take stand except act mostli lesserknown cast superintellig script doesnt insult audienc take easi way come white racism
827,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1,plu movi rather modest budget fast run time amaz job
828,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,juano hernandez except actor play support role mani film era proud black man accus murder white man south
829,Trumbull on I LOVE LUCY).  ,1,trumbul love luci
830,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1,see kid chanceit open amaz dialog far race relat come last 50 year
831,See both films if you can.  ,1,see film
832,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,year howev remind u huston still top game evinc faith adapt jame joyc acclaim novella dead
833,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,feel thoughtsgabriel discomfort danceal intang leap life come within viewer grasp huston portray
834,Very disappointed and wondered how it could be in the Oscar shortlist.  ,0,disappoint wonder could oscar shortlist
835,It's very slow.  ,0,slow
836,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0,lot hole plot there noth becom emperor noth spend 20 year childhood matur age
837,) Don't waste your time.  ,0,dont wast time
838,End of Days is one of the worst big-budget action movies I've ever seen.  ,0,end day one bad bigbudget action movi ive ever see
839,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0,sure doesnt know make coher action movi screenwrit air forc one oblig write script big sum money
840,This was one of the worst films i have ever seen.  ,0,one bad film ever see
841,I'm still trying to get over how bad it was.  ,0,im still tri get bad
842,This movie is possibly one of the most creative works of horror ever.  ,1,movi possibl one creativ work horror ever
843,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1,everyth could want suspens drama comedi confus subplot nativ american brain eat your look beall endal brainsuck movi look
844,"With great sound effects, and impressive special effects, I cant recommend this movie enough.  ",1,great sound effect impress special effect cant recommend movi enough
845,"Call me a nut, but I think this is one of the best movies ever.  ",1,call nut think one best movi ever
846,Great character actors Telly Savalas and Peter Boyle.  ,1,great charact actor telli savala peter boyl
847,"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  ",0,1 hour 54 minut sheer tedium melodrama horribl act mess script sink feel good lord think
848,Lots of holes in the script.  ,0,lot hole script
849,It's like a bad two hour TV movie.  ,0,like bad two hour tv movi
850,Now imagine that every single one of those decisions was made wrong.  ,0,imagin everi singl one decis make wrong
851,The dialogue is atrocious.  ,0,dialogu atroci
852,The acting is beyond abysmal.  ,0,act beyond abysm
853,Everything stinks.  ,0,everyth stink
854,"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  ",0,troubl write direct make imposs establish thing make movi watchabl like charact stori theme
855,"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  ",0,bad there incred weak subplot thrown follow littl band latterday mansonit go report who work stori anniversari kill
856,"It's dumb and pointless, and a complete waste of time.  ",0,dumb pointless complet wast time
857,"In short, don't bother with this movie.  ",0,short dont bother movi
858,"I won't spoil it, but the ending in pretty amazing.  ",1,wont spoil end pretti amaz
859,"The best scene in the movie is at the end, but I won't spoil it.  ",1,best scene movi end wont spoil
860,"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  ",1,ever indic writer director abil meld two highli volatil tempera seamless union creativ
861,"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",1,result powerhous achiev make time perhap cultur disturb fascin celebr distort interpret fame
862,A film not easily forgotten.  ,1,film easili forget
863,"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",1,kevin spacey excel verbal tsunami buddi ackerman total believ great actor
864,The scripting of the subtle comedy is unmatched by any movie in recent years.  ,1,script subtl comedi unmatch movi recent year
865,"The characters are interesting, even if a bit predictable.  ",1,charact interest even bit predict
866,"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  ",1,highli recommend age although young set probabl appreci subtl refer certainli appreci one galley scene particular
867,Great movie!  ,1,great movi
868,Also the story and acting were weak.  ,0,also stori act weak
869,"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  ",0,around 4 pm buy around 8pm start watch around 815pm fast forward remain film see anyth leav watchabl human brain wasnt
870,"Either way, it sucks.  ",0,either way suck
871,The script is horrendously stupid.  ,0,script horrend stupid
872,The story starts too fast with absolutely no suspense or build-up in the slightest.  ,0,stori start fast absolut suspens buildup slightest
873,Everything Captain Howdy says is either laughable or just plain stupid.  ,0,everyth captain howdi say either laughabl plain stupid
874,What the hell kind of crap is that?!  ,0,hell kind crap
875,"Then, there's the plot holes.  ",0,there plot hole
876,You could drive a semi truck into these holes!  ,0,could drive semi truck hole
877,Linda Cardellini is the only thing good in this film.  ,1,linda cardellini thing good film
878,She's poised and amazing.  ,1,she pois amaz
879,Dee Snider just plain sucks.  ,0,dee snider plain suck
880,"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  ",0,cant act one least scari villain ever see cant write write damn movi sleep
881,I was bored throughout the whole damn thing.  ,0,bore throughout whole damn thing
882,"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  ",0,act suck music suck script suck pace suck special fx suck direct suck basic movi suck
883,This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  ,0,film tri seriou sophist thrillerhorror flick fail miser
884,This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  ,0,probabl one least effect utterli unorigin film ever see entir life
885,A piece of cinematic garbage captured on celluloid.  ,0,piec cinemat garbag captur celluloid
886,Avoid at any and all costs.  ,0,avoid cost
887,"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  ",0,rate film stink funni fulci stay giallo supernatur zombi movi
888,Avoid this film at all costs.  ,0,avoid film cost
889,"I don't know what happened in Season Five, what a mess.  ",0,dont know happen season five mess
890,The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  ,0,consist thread hold seri togeth amaz perform leni parker anita laselva two taelon quiet idealog conflict
891,Now this is a movie I really dislike.  ,0,movi realli dislik
892,It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  ,0,one bore horror movi 90 mainli start slow center bore atmospher
893,"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",0,puppet look realli cheesi good way like puppet master 80 flick
894,"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",0,stori lame interest never realli explain sinist origin puppet
895,There aren't death scenes like in previous movies and the f/x are terrible.  ,0,arent death scene like previou movi fx terribl
896,"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ",0,felt asleep first time watch recommend insomniac
897,"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  ",1,fact film wonder heartwarm tale two peopl chase dream
898,"The best part about ""Nurse Betty"" is it's unpredictability.  ",1,best part nurs betti unpredict
899,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1,director neil labut us brutal violenc seper dream realiti along touch drama hilari comedi never tell go happen next
900,"Otherwise, don't even waste your time on this.  ",0,otherwis dont even wast time
901,This one just fails to create any real suspense.  ,0,one fail creat real suspens
902,"As for the killer, don't expect anything original or even remotely frightening.  ",0,killer dont expect anyth origin even remot frighten
903,"There is, however, some pretty good acting (at least, for this type of film).  ",1,howev pretti good act least type film
904,I'm so sorry but I really can't recommend it to anyone.  ,0,im sorri realli cant recommend anyon
905,"One of the most boring,pointless movies I have ever seen.  ",0,one boringpointless movi ever see
906,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0,secondari plot line incomprehens relat primari plot line mystifi
907,Hated it.  ,0,hat
908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0,one bad sandra bullock movi sinc speed 2 quit bad
909,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0,dont understand garbag get shelf movi store even real movi
910,I highly doubt that anyone could ever like this trash.  ,0,highli doubt anyon could ever like trash
911,This is not movie-making.  ,0,moviemak
912,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0,act like watch wooden puppet move around read book that bad
913,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",0,warn youdo rent movi dumb thing never see
914,I saw this short film on HBO the other day and absolutely loved it.  ,1,saw short film hbo day absolut love
915,I didn't realize how wonderful the short really is until the last two scenes.  ,1,didnt realiz wonder short realli last two scene
916,Excellent short film.  ,1,excel short film
917,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",1,hope director jame cox turn short featur length film cast win u whole new film
