,text
551,This may be the only bad film he ever made.  
552,So bad...well...it's just bad.  
553,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  "
554,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  
555,I thought it was bad.  
556,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  "
557,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  "
558,The script is a big flawed mess.  
559,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  
560,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  "
561,The movie is terribly boring in places.  
562,The lighting is awful.  
563,The film looks cheap and bland.  
564,One of the most disappointing aspects is the lack of notable gore.  
565,"This convention never worked well in the past, and certainly doesn't work here.  "
566,The visual effects were AWFUL.  
567,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  
568,"The ""explosion"" of the Gas tanks at the end was just as awful.  "
569,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  "
570,"Gotta love those close-ups of slimy, drooling teeth!  "
571,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  "
572,Not recommended.  
573,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  "
574,"Aside from it's terrible lead, this film has loads of other debits.  "
575,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  "
576,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  "
577,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  
578,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  "
579,The budget was evidently very limited.  
580,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  "
581,"However, here there was no decent acting, action or location work to balance things up.  "
582,Filmiing was less expansive.  
583,It failed to convey the broad sweep of landscapes that were a great part of the original.  
584,Generally; it just lacked imagination.  
585,Not recommended.  
586,Is it possible for a movie to get any worse than this?  
587,There is no plot here to keep you going in the first place.  
588,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  "
589,"Beware: this is not a trashy cult movie, this is trash -period!  "
590,I can't believe there's even a sequel to this!  
591,Which is precisely why I am giving it such a bad review!  
592,"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  "
593,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  "
594,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  
595,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  "
596,The characters were all funny and had the peculiarity of not having a true lead character.  
597,Every single character was hilarious and deserved to be called a lead.  
598,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  "
599,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  "
600,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  
601,There is simply no excuse for something this poorly done.  
602,I saw this movie and I thought this is a stupid movie.  
603,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  
604,"To be honest with you, this is unbelievable nonsense and very foolish.  "
605,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  "
606,The story line is just awful!  
607,It's just painful!  
608,And the accents are absolutely abysmal!  
609,There's also enough hypocrisy in this film to make me vomit.  
610,Don't waste your time watching this rubbish non-researched film.  
611,I believe that Pitch Black was done well.  
612,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  "
613,Go watch it!  
614,Omit watching this.  
615,VERY funny!  
616,My rating: just 3 out of 10.  
617,The characters are interesting and you really care for them.  
618,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  "
619,Don't miss it.  
620,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  "
621,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  "
622,"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  "
623,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  "
624,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  
625,"Regardless, the film fails on most levels.  "
626,Avoid at all costs.  
627,"I saw this film over Christmas, and what a great film it was!  "
628,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  
629,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  
630,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  "
631,But it wasn't until I watched this film that I realised how great he actually was.  
632,I'll give this film 10 out of 10!  
633,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  "
634,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  "
635,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  "
636,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  "
637,Nevertheless yet another wonderful film from the great master's stable.  
638,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  
639,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  
640,"But it is entertaining, nonetheless.  "
641,It's a campy sort of film that's a joy to watch.  
642,There's barely a boring moment in the film and there are plenty of humorous parts.  
643,The cast is always entertaining as usual.  
644,"Overall, a delight!  "
645,"This movie is so mind-bendingly awful, it couldn't have even been created.  "
646,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  
647,The least said about the acting the better.  
648,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  
649,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  
650,Nothing short of magnificent photography/cinematography in this film.  
651,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  "
652,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  
653,Excellent performance.  
654,There still are good actors around!  
655,Also great directing and photography.  
656,"Very true to Shakespear, and a 'must' for all Shakespear fans.  "
657,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  "
658,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  "
659,"If you love death and decay, and Shakespears lyrics... this is the one.  "
660,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  "
661,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  "
662,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  "
663,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  
664,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  "
665,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  "
666,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  "
667,It is not good.  
668,"Speaking of the music, it is unbearably predictably and kitchy.  "
669,Then the film just dropped the ball.  
670,This is a stunning movie.  
671,Raw and sublimely moving.  
672,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  "
673,All of the main players are mesmerising.  
674,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  
675,Julian Fellowes has triumphed again.  
676,He's a national treasure.  
677,GO AND SEE IT!  
678,This is an excellent film.  
679,The aerial scenes were well-done.  
680,It was also the right balance of war and love.  
681,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  "
682,Kris Kristoffersen is good in this movie and really makes a difference.  
683,A good film by a great director!  
684,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  
685,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  "
686,This is just a great movie.  
687,10 out of 10 stars.  
688,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  
689,It's so bad it's actually worth seeing just for that reason.  
690,Punishment Park is a brilliant piece of cinema.  
691,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  "
692,This is one of Peter Watkins most accessible films.  
693,I advise you to look out for it.  
694,You wont regret it!  
695,Highly recommended A+  
696,Well... Just if you keep thinking how bad it is.  
697,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  "
698,It's a case of 'so bad it is laughable'.  
699,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  "
700,"It is a film about nothing, just a pretext to show ridiculous action scenes.  "
701,How awful she is!  
702,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  "
703,"The results, well, are a shame.  "
704,DELETE this film from your mind!  
705,One of the worst shows of all time.  
706,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  
707,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  "
708,Never heard of any of them except Cole who was totally unbelievable in the part.  
709,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  "
710,The stories were as unbelievable as the actors.  
711,Lame would be the best way to describe it.  
712,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  "
713,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  
714,The attractive set used throughout most of the film is an eye-pleasing gem.  
715,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  "
716,"The lines, the cuts, the audio, everything is wrong.  "
717,You can find better movies at youtube.  
718,"Top line: Don't waste your time and money on this one, its as bad as it comes.  "
719,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  "
720,That's how I'd describe this painfully dreary time-waster of a film.  
721,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  "
722,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  "
723,"It's an empty, hollow shell of a movie.  "
724,"Seriously, it's not worth wasting your, or your kid's time on.  "
725,"Avoid, avoid, avoid!  "
726,It will drive you barking mad!  
727,The transfers are very good.  
728,Very nice and relaxing late night viewing.  
729,The movie is full of wonderful dancing (hence the title!  
730,") some great music, and terrific scenery.  "
731,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  "
732,") a happy, wonderful, feel good ending!  "
733,"The point is the journey, a journey that touches every member of the family.  "
734,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  
735,Nothing new there.  
736,That was done in the second movie.  
737,The movie has almost no action scenes in it and very little comedy.  
738,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  
739,What on earth is Irons doing in this film?  
740,I just saw this film and I recommend it.  
741,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  "
742,"A very good film indeed, about great and unconditional love.  "
743,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  "
744,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  "
745,"Despite the pans of reviewers, I liked this movie.  "
746,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  "
747,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  "
748,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  "
749,I guess I liked the details of his dysfunction--he was believable.  
750,The football scenes at the end were perplexing.  
751,But I thought his acting was skilled.  
752,Meredith M was better than all right.  
753,A very charming film with wonderful sentiment and heart.  
754,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  
755,Nine out of ten for a truly lovely film.  
756,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  
757,This is one of the best Italian thrillers of the early 70's.  
758,A standout scene.  
759,This scene is very strong and unpleasant.  
760,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  "
761,It's still wild stuff though and is highly recommended to fans of giallo cinema.  
762,The movie was very interesting from beginning to the end.  
763,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  
764,This movie is also revealing.  
765,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  "
766,And it was boring.  
767,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  "
768,PS the only scene in the movie that was cool is when the central character finds her room blown up.  
769,"It's a fresh, subtle, and rather sublime effect.  "
770,"An Italian reviewer called this ""a small, great film,"" and that's right.  "
771,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  "
772,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  "
773,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  "
774,Also the music by Mark Snow is possibly the best score I've ever heard.  
775,You won't forget this movie!  
776,Why was this film made?  
777,The film has an ultra-cheap look to it.  
778,The result is a film that just don't look right.  
779,None of them are engaging or exciting.  
780,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  
781,The Foreigner is not worth one second of your time.  
782,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  "
783,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  
784,This movie is so awesome!  
785,"I loved it, it was really scary.  "
786,I love the Scream movies and all horror movies and this one ranks way up there.  
787,If you want a real scare rent this one!  
788,10/10  
789,This is an extraordinary film.  
790,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  "
791,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  "
792,"The film is well paced, understated and one of the best courtroom documentaries I've seen.  "
793,This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  
794,"Predictable, but not a bad watch.  "
795,It was clear that she had the range and ability to pull off this part.  
796,She carries the movie well.  
797,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  
798,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  "
799,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  "
800,"In fact, this stinker smells like a direct-to-video release.  "
801,Avoid at ALL costs!  
802,Star Trek V The final Frontier is the worst in the series.  
803,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  "
804,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  
805,The only place good for this film is in the garbage.  
806,The worst one of the series.  
807,Editing: The editing of this film was phenomenal in my opinion.  
808,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  "
809,Cinematography: The film was shot in an interesting way.  
810,"Of course the footage from the 70s was grainy, but that only enhanced the film.  "
811,This film offers many delights and surprises.  
812,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  "
813,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  
814,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  
815,But this understated film leaves a lasting impression.  
816,The warmth it generates is in contrast to its austere backdrop.  
817,You will leave the theater wanting to go out and dance under the stars.  
818,"The acting, as you'd expect from this cast, is top notch.  "
819,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  "
820,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  "
821,Conclusion - I loved it.  
822,It's a long time since I was so entertained by a movie.  
823,I struggle to find anything bad to say about it.  
824,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  "
825,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  "
826,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  "
827,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  "
828,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  
829,Trumbull on I LOVE LUCY).  
830,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  
831,See both films if you can.  
832,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  "
833,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  "
834,Very disappointed and wondered how it could be in the Oscar shortlist.  
835,It's very slow.  
836,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  
837,) Don't waste your time.  
838,End of Days is one of the worst big-budget action movies I've ever seen.  
839,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  
840,This was one of the worst films i have ever seen.  
841,I'm still trying to get over how bad it was.  
842,This movie is possibly one of the most creative works of horror ever.  
843,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  "
844,"With great sound effects, and impressive special effects, I cant recommend this movie enough.  "
845,"Call me a nut, but I think this is one of the best movies ever.  "
846,Great character actors Telly Savalas and Peter Boyle.  
847,"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  "
848,Lots of holes in the script.  
849,It's like a bad two hour TV movie.  
850,Now imagine that every single one of those decisions was made wrong.  
851,The dialogue is atrocious.  
852,The acting is beyond abysmal.  
853,Everything stinks.  
854,"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  "
855,"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  "
856,"It's dumb and pointless, and a complete waste of time.  "
857,"In short, don't bother with this movie.  "
858,"I won't spoil it, but the ending in pretty amazing.  "
859,"The best scene in the movie is at the end, but I won't spoil it.  "
860,"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  "
861,"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  "
862,A film not easily forgotten.  
863,"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  "
864,The scripting of the subtle comedy is unmatched by any movie in recent years.  
865,"The characters are interesting, even if a bit predictable.  "
866,"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  "
867,Great movie!  
868,Also the story and acting were weak.  
869,"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  "
870,"Either way, it sucks.  "
871,The script is horrendously stupid.  
872,The story starts too fast with absolutely no suspense or build-up in the slightest.  
873,Everything Captain Howdy says is either laughable or just plain stupid.  
874,What the hell kind of crap is that?!  
875,"Then, there's the plot holes.  "
876,You could drive a semi truck into these holes!  
877,Linda Cardellini is the only thing good in this film.  
878,She's poised and amazing.  
879,Dee Snider just plain sucks.  
880,"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  "
881,I was bored throughout the whole damn thing.  
882,"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  "
883,This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  
884,This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  
885,A piece of cinematic garbage captured on celluloid.  
886,Avoid at any and all costs.  
887,"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  "
888,Avoid this film at all costs.  
889,"I don't know what happened in Season Five, what a mess.  "
890,The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  
891,Now this is a movie I really dislike.  
892,It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  
893,"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  "
894,"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  "
895,There aren't death scenes like in previous movies and the f/x are terrible.  
896,"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  "
897,"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  "
898,"The best part about ""Nurse Betty"" is it's unpredictability.  "
899,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  "
900,"Otherwise, don't even waste your time on this.  "
901,This one just fails to create any real suspense.  
902,"As for the killer, don't expect anything original or even remotely frightening.  "
903,"There is, however, some pretty good acting (at least, for this type of film).  "
904,I'm so sorry but I really can't recommend it to anyone.  
905,"One of the most boring,pointless movies I have ever seen.  "
906,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  
907,Hated it.  
908,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  
909,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  "
910,I highly doubt that anyone could ever like this trash.  
911,This is not movie-making.  
912,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  "
913,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  "
914,I saw this short film on HBO the other day and absolutely loved it.  
915,I didn't realize how wonderful the short really is until the last two scenes.  
916,Excellent short film.  
917,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  "
918,"I agree with Jessica, this movie is pretty bad.  "
919,"Characters are one-dimensional, even the good guys and especially the bad guys.  "
920,The story line is totally predictable.  
921,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  "
922,I've seen soap operas more intelligent than this movie.  
923,"Bad characters, bad story and bad acting.  "
924,Really awful.  
925,Not easy to watch.  
926,"Funny, clever, hip - just like Pray's previous film, Hype!  "
927,It was a long time that i didn't see a so charismatic actor on screen.  
928,Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  
929,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  
930,I rate this movie 9/10.  
931,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  "
932,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  
933,"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  "
934,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  
935,"It never condescends, all the characters have good genuine hearts and believable problems.  "
936,The two main characters may be two of the most believable children I ever saw put on screen.  
937,"They are so easy to love, but even more easy to identify with.  "
938,This movie is great--especially if you enjoy visual arts.  
939,The scenery that the two daughters paint and photograph are beautiful.  
940,The story is also both funny and poignant at times.  
941,"People who like European films and ""art movies"" will like this movie.  "
942,This is truly an art movie--it actually has a lot of art in it.  
943,Go rent it.  
944,"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  "
945,"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  "
946,Brilliance indeed.  
947,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  "
948,Think of the film being like a dream.  
949,Simply beautiful.  
950,Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.  
951,"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  "
952,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  
953,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  "
954,"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  "
955,The movie seemed a little slow at first.  
956,But it picked up speed and got right to the point.  
957,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  "
958,I enjoyed it.  
959,I have recommended it to friends.  
960,I was particularly pleased with the acting ability of Dwight Schultz.  
961,"Both actors truly understand and become their particular character, delivering a convincing, sincere performance.  "
962,"Their on-screen chemistry, critical to the entire film, is genuine.  "
963,"The film's dialogue is natural, real to life.  "
964,"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.  "
965,The incredible soundtrack truly captures the essence of the film.  
966,"Each track commands sentiment, actually contributing to the scenes and characters.  "
967,Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.  
968,"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  "
969,"At a time when it seems that film animation has been dominated by Disney/Pixar's CGI masterpieces, it is both refreshing and comforting to know that Miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.  "
970,Enough can not be said of the remarkable animation in this film.  
971,The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  
972,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  "
973,"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.  "
974,If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  
975,"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  "
976,"Just consider the excellent story, solid acting and look of the film as added bonuses.  "
977,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  "
978,"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  "
979,It is a very well acted and done TV Movie.  
980,Judith Light is one of my favorite actresses and I think she does a superb job in this film!  
981,I keep watching it over and over.  
